PAIS_ISO3,OMS_REGION,CASOS_ACUM_TOTAL,CASOS_ACUM_TOTAL_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_24H,MUERTES_ACUM_INFORMADAS_ULT_7_DIAS,MUERTES_ACUM_TOTAL_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_24H
AFG,Eastern Mediterranean,225568,579.444,116,0.298,0,7945,20.409,1,0.003,0
LAO,Western Pacific,218837,3007.837,8,0.11,0,671,9.223,0,0.0,0
ISL,Europe,208957,57384.644,0,0.0,0,186,51.08,0,0.0,0
GLP,Americas,203235,50793.004,0,0.0,0,1021,255.171,0,0.0,0
SLV,Americas,201785,3110.987,0,0.0,0,4230,65.215,0,0.0,0
TTO,Americas,191496,13683.29,0,0.0,0,4390,313.686,0,0.0,0
MDV,South-East Asia,186694,34538.169,0,0.0,0,316,58.46,0,0.0,0
UZB,Europe,172571,515.611,0,0.0,0,1016,3.036,0,0.0,0
NAM,Africa,171998,6769.163,0,0.0,0,4098,161.281,0,0.0,0
UGA,Africa,171829,375.656,0,0.0,0,3632,7.94,0,0.0,0
GHA,Africa,171653,552.42,0,0.0,0,1462,4.705,0,0.0,0
JAM,Americas,156178,5274.204,0,0.0,0,3600,121.574,0,0.0,0
KHM,Western Pacific,138940,831.032,0,0.0,0,3056,18.279,0,0.0,0
RWA,Africa,133194,1028.349,0,0.0,0,1468,11.334,0,0.0,0
CMR,Africa,125090,471.222,0,0.0,0,1974,7.436,0,0.0,0
MLT,Europe,120044,23329.265,0,0.0,0,877,170.436,0,0.0,0
BRB,Americas,109503,38104.567,0,0.0,0,620,215.746,0,0.0,0
AGO,Africa,105384,320.645,0,0.0,0,1934,5.884,0,0.0,0
GUF,Americas,98041,32824.542,0,0.0,0,413,138.274,0,0.0,0
COD,Africa,97697,109.084,0,0.0,0,1468,1.639,0,0.0,0
SEN,Africa,89014,531.62,0,0.0,0,1971,11.771,0,0.0,0
MWI,Africa,88908,464.758,0,0.0,0,2686,14.041,0,0.0,0
CIV,Africa,88338,334.889,0,0.0,0,835,3.165,0,0.0,0
KGZ,Europe,87949,1348.045,0,0.0,0,1024,15.695,0,0.0,0
