PAIS_ISO3,PAIS_NOM,INDICADOR,FECHA,ANY_SEMANA,VALOR,FUENTE_ORIGEN
AUT,Austria,Daily hospital occupancy,06-06-2020,2020-23,55.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-06-2020,2020-23,52.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-06-2020,2020-24,65.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-06-2020,2020-24,65.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-06-2020,2020-24,63.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-06-2020,2020-24,67.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-06-2020,2020-24,60.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-06-2020,2020-24,62.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-06-2020,2020-24,57.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-06-2020,2020-25,64.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-06-2020,2020-25,66.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-06-2020,2020-25,60.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-06-2020,2020-25,64.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-06-2020,2020-25,68.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-06-2020,2020-25,66.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-06-2020,2020-25,61.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-06-2020,2020-26,59.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-06-2020,2020-26,57.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-06-2020,2020-26,59.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-06-2020,2020-26,60.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-06-2020,2020-26,60.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-06-2020,2020-26,61.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-06-2020,2020-26,62.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-06-2020,2020-27,66.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-06-2020,2020-27,58.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-07-2020,2020-27,65.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-07-2020,2020-27,62.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-07-2020,2020-27,65.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-07-2020,2020-27,60.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-07-2020,2020-27,62.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-07-2020,2020-28,67.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-07-2020,2020-28,81.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-07-2020,2020-28,66.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-07-2020,2020-28,66.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-07-2020,2020-28,71.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-07-2020,2020-28,68.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-07-2020,2020-28,73.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-07-2020,2020-29,74.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-07-2020,2020-29,74.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-07-2020,2020-29,86.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-07-2020,2020-29,83.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-07-2020,2020-29,88.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-07-2020,2020-29,87.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-07-2020,2020-29,85.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-07-2020,2020-30,96.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-07-2020,2020-30,96.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-07-2020,2020-30,93.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-07-2020,2020-30,87.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-07-2020,2020-30,86.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-07-2020,2020-30,85.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-07-2020,2020-30,82.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-07-2020,2020-31,79.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-07-2020,2020-31,74.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-07-2020,2020-31,74.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-07-2020,2020-31,87.0,Country_Website
AUT,Austria,Daily hospital occupancy,31-07-2020,2020-31,84.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-08-2020,2020-31,70.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-08-2020,2020-31,73.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-08-2020,2020-32,92.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-08-2020,2020-32,84.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-08-2020,2020-32,90.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-08-2020,2020-32,92.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-08-2020,2020-32,93.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-08-2020,2020-32,96.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-08-2020,2020-32,99.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-08-2020,2020-33,92.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-08-2020,2020-33,94.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-08-2020,2020-33,93.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-08-2020,2020-33,92.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-08-2020,2020-33,91.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-08-2020,2020-33,83.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-08-2020,2020-33,65.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-08-2020,2020-34,91.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-08-2020,2020-34,97.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-08-2020,2020-34,101.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-08-2020,2020-34,95.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-08-2020,2020-34,90.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-08-2020,2020-34,94.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-08-2020,2020-34,93.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-08-2020,2020-35,112.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-08-2020,2020-35,114.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-08-2020,2020-35,118.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-08-2020,2020-35,121.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-08-2020,2020-35,119.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-08-2020,2020-35,114.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-08-2020,2020-35,110.0,Country_Website
AUT,Austria,Daily hospital occupancy,31-08-2020,2020-36,123.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-09-2020,2020-36,119.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-09-2020,2020-36,127.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-09-2020,2020-36,132.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-09-2020,2020-36,128.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-09-2020,2020-36,129.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-09-2020,2020-36,115.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-09-2020,2020-37,134.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-09-2020,2020-37,142.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-09-2020,2020-37,161.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-09-2020,2020-37,166.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-09-2020,2020-37,163.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-09-2020,2020-37,167.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-09-2020,2020-37,182.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-09-2020,2020-38,208.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-09-2020,2020-38,244.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-09-2020,2020-38,267.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-09-2020,2020-38,264.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-09-2020,2020-38,272.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-09-2020,2020-38,265.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-09-2020,2020-38,273.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-09-2020,2020-39,297.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-09-2020,2020-39,315.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-09-2020,2020-39,336.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-09-2020,2020-39,344.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-09-2020,2020-39,333.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-09-2020,2020-39,343.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-09-2020,2020-39,362.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-09-2020,2020-40,381.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-09-2020,2020-40,401.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-09-2020,2020-40,406.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-10-2020,2020-40,395.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-10-2020,2020-40,372.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-10-2020,2020-40,397.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-10-2020,2020-40,373.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-10-2020,2020-41,387.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-10-2020,2020-41,397.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-10-2020,2020-41,425.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-10-2020,2020-41,399.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-10-2020,2020-41,405.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-10-2020,2020-41,410.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-10-2020,2020-41,431.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-10-2020,2020-42,464.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-10-2020,2020-42,504.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-10-2020,2020-42,542.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-10-2020,2020-42,545.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-10-2020,2020-42,584.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-10-2020,2020-42,594.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-10-2020,2020-42,607.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-10-2020,2020-43,654.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-10-2020,2020-43,744.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-10-2020,2020-43,813.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-10-2020,2020-43,841.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-10-2020,2020-43,900.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-10-2020,2020-43,1002.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-10-2020,2020-43,1051.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-10-2020,2020-44,1142.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-10-2020,2020-44,1197.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-10-2020,2020-44,1345.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-10-2020,2020-44,1444.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-10-2020,2020-44,1540.0,Country_Website
AUT,Austria,Daily hospital occupancy,31-10-2020,2020-44,1602.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-11-2020,2020-44,1657.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-11-2020,2020-45,1825.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-11-2020,2020-45,2065.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-11-2020,2020-45,2201.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-11-2020,2020-45,2330.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-11-2020,2020-45,2504.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-11-2020,2020-45,2574.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-11-2020,2020-45,2533.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-11-2020,2020-46,2755.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-11-2020,2020-46,3054.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-11-2020,2020-46,3183.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-11-2020,2020-46,3265.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-11-2020,2020-46,3355.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-11-2020,2020-46,3425.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-11-2020,2020-46,3579.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-11-2020,2020-47,3685.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-11-2020,2020-47,3867.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-11-2020,2020-47,3910.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-11-2020,2020-47,3931.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-11-2020,2020-47,3942.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-11-2020,2020-47,3900.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-11-2020,2020-47,3775.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-11-2020,2020-48,3863.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-11-2020,2020-48,3985.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-11-2020,2020-48,3867.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-11-2020,2020-48,3756.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-11-2020,2020-48,3702.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-11-2020,2020-48,3591.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-11-2020,2020-48,3560.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-11-2020,2020-49,3639.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-12-2020,2020-49,3791.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-12-2020,2020-49,3571.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-12-2020,2020-49,3414.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-12-2020,2020-49,3338.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-12-2020,2020-49,3231.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-12-2020,2020-49,3170.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-12-2020,2020-50,3269.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-12-2020,2020-50,3308.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-12-2020,2020-50,3244.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-12-2020,2020-50,3195.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-12-2020,2020-50,3079.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-12-2020,2020-50,3008.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-12-2020,2020-50,2867.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-12-2020,2020-51,2885.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-12-2020,2020-51,2951.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-12-2020,2020-51,2862.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-12-2020,2020-51,2690.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-12-2020,2020-51,2578.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-12-2020,2020-51,2475.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-12-2020,2020-51,2412.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-12-2020,2020-52,2393.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-12-2020,2020-52,2435.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-12-2020,2020-52,2303.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-12-2020,2020-52,2203.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-12-2020,2020-52,2045.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-12-2020,2020-52,2024.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-12-2020,2020-52,2043.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-12-2020,2021-01,2089.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-12-2020,2021-01,2116.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-12-2020,2021-01,2012.0,Country_Website
AUT,Austria,Daily hospital occupancy,31-12-2020,2021-01,1946.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-01-2021,2021-01,1858.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-01-2021,2021-01,1858.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-01-2021,2021-01,1864.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-01-2021,2021-01,1953.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-01-2021,2021-01,2033.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-01-2021,2021-01,2022.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-01-2021,2021-01,1981.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-01-2021,2021-01,2000.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-01-2021,2021-01,1957.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-01-2021,2021-01,1874.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-01-2021,2021-02,1918.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-01-2021,2021-02,1923.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-01-2021,2021-02,1825.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-01-2021,2021-02,1725.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-01-2021,2021-02,1705.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-01-2021,2021-02,1668.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-01-2021,2021-02,1635.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-01-2021,2021-03,1673.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-01-2021,2021-03,1729.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-01-2021,2021-03,1683.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-01-2021,2021-03,1606.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-01-2021,2021-03,1586.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-01-2021,2021-03,1525.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-01-2021,2021-03,1518.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-01-2021,2021-04,1548.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-01-2021,2021-04,1583.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-01-2021,2021-04,1526.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-01-2021,2021-04,1478.0,Country_Website
AUT,Austria,Daily hospital occupancy,29-01-2021,2021-04,1428.0,Country_Website
AUT,Austria,Daily hospital occupancy,30-01-2021,2021-04,1385.0,Country_Website
AUT,Austria,Daily hospital occupancy,31-01-2021,2021-04,1387.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-02-2021,2021-05,1433.0,Country_Website
AUT,Austria,Daily hospital occupancy,02-02-2021,2021-05,1429.0,Country_Website
AUT,Austria,Daily hospital occupancy,03-02-2021,2021-05,1383.0,Country_Website
AUT,Austria,Daily hospital occupancy,04-02-2021,2021-05,1342.0,Country_Website
AUT,Austria,Daily hospital occupancy,05-02-2021,2021-05,1304.0,Country_Website
AUT,Austria,Daily hospital occupancy,06-02-2021,2021-05,1289.0,Country_Website
AUT,Austria,Daily hospital occupancy,07-02-2021,2021-05,1275.0,Country_Website
AUT,Austria,Daily hospital occupancy,08-02-2021,2021-06,1299.0,Country_Website
AUT,Austria,Daily hospital occupancy,09-02-2021,2021-06,1318.0,Country_Website
AUT,Austria,Daily hospital occupancy,10-02-2021,2021-06,1262.0,Country_Website
AUT,Austria,Daily hospital occupancy,11-02-2021,2021-06,1212.0,Country_Website
AUT,Austria,Daily hospital occupancy,12-02-2021,2021-06,1151.0,Country_Website
AUT,Austria,Daily hospital occupancy,13-02-2021,2021-06,1062.0,Country_Website
AUT,Austria,Daily hospital occupancy,14-02-2021,2021-06,1056.0,Country_Website
AUT,Austria,Daily hospital occupancy,15-02-2021,2021-07,1104.0,Country_Website
AUT,Austria,Daily hospital occupancy,16-02-2021,2021-07,1089.0,Country_Website
AUT,Austria,Daily hospital occupancy,17-02-2021,2021-07,1069.0,Country_Website
AUT,Austria,Daily hospital occupancy,18-02-2021,2021-07,1027.0,Country_Website
AUT,Austria,Daily hospital occupancy,19-02-2021,2021-07,1030.0,Country_Website
AUT,Austria,Daily hospital occupancy,20-02-2021,2021-07,999.0,Country_Website
AUT,Austria,Daily hospital occupancy,21-02-2021,2021-07,1018.0,Country_Website
AUT,Austria,Daily hospital occupancy,22-02-2021,2021-08,1085.0,Country_Website
AUT,Austria,Daily hospital occupancy,23-02-2021,2021-08,1077.0,Country_Website
AUT,Austria,Daily hospital occupancy,24-02-2021,2021-08,1064.0,Country_Website
AUT,Austria,Daily hospital occupancy,25-02-2021,2021-08,1041.0,Country_Website
AUT,Austria,Daily hospital occupancy,26-02-2021,2021-08,1018.0,Country_Website
AUT,Austria,Daily hospital occupancy,27-02-2021,2021-08,988.0,Country_Website
AUT,Austria,Daily hospital occupancy,28-02-2021,2021-08,1022.0,Country_Website
AUT,Austria,Daily hospital occupancy,01-03-2021,2021-09,1073.0,Country_Website
