PAIS_ISO3,CONTINENTE,ISO_continente,NOMBRE_VACUNA,NOMBRE_TIPO_VACUNA,NOMBRE_COMPAÑIA,FECHA_AUTORIZACION,FECHA_INICIO_VACUNACION,FUENTE_DATOS
CRI,North America,NA,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech,15-12-2020,24-12-2020,REPORTING
FRA,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
FIN,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,23-12-2020,REPORTING
SWE,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,17-02-2021,REPORTING
ESP,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
GUF,South America,SA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
PRI,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
LIE,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
LBN,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,16-12-2020,14-02-2021,REPORTING
FJI,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,01-09-2021,0,REPORTING
PHL,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,05-05-2021,01-07-2021,REPORTING
BTN,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,22-06-2021,20-07-2021,REPORTING
ISR,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,03-03-2021,REPORTING
COL,South America,SA,Moderna - Spikevax,Spikevax,Moderna,25-06-2021,27-07-2021,REPORTING
LTU,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
SYR,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
SUR,South America,SA,Moderna - Spikevax,Spikevax,Moderna,14-07-2021,27-07-2021,REPORTING
MDV,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,06-06-2021,0,REPORTING
JOR,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,13-12-2020,13-01-2021,REPORTING
IRN,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
SLV,North America,NA,Moderna - Spikevax,Spikevax,Moderna,03-06-2021,02-08-2021,REPORTING
BES,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,22-02-2021,REPORTING
SXM,Sin Determinar,Z9,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
ASM,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,18-12-2020,23-12-2020,REPORTING
MNG,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,10-01-2021,0,REPORTING
LKA,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,28-06-2021,18-07-2021,REPORTING
PRY,South America,SA,Moderna - Spikevax,Spikevax,Moderna,29-12-2020,09-06-2021,REPORTING
NLD,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
NIC,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,07-03-2022,REPORTING
SDN,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
IND,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,29-06-2021,0,REPORTING
KWT,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,13-12-2020,28-12-2020,REPORTING
BGD,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,27-06-2021,13-07-2021,REPORTING
SRB,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,10-11-2021,REPORTING
UZB,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,28-07-2021,REPORTING
SAU,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,10-12-2020,06-01-2021,REPORTING
CZE,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,30-12-2020,REPORTING
RWA,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,29-07-2021,0,REPORTING
CYP,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,20-01-2021,REPORTING
ISL,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
CHE,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,23-12-2020,REPORTING
NPL,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,15-09-2021,19-12-2021,REPORTING
PAK,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,20-01-2021,03-02-2021,REPORTING
LCA,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
JPN,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,21-05-2021,24-05-2021,REPORTING
PRT,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,20-01-2021,REPORTING
SVN,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,03-03-2021,REPORTING
BMU,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
LBY,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,24-02-2021,11-04-2021,REPORTING
EST,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,20-01-2021,REPORTING
MNP,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,18-12-2020,12-01-2021,REPORTING
KEN,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
HND,North America,NA,Moderna - Spikevax,Spikevax,Moderna,17-02-2021,22-02-2021,REPORTING
MCO,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,02-03-2022,REPORTING
BEL,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
ARG,South America,SA,Moderna - Spikevax,Spikevax,Moderna,23-07-2021,02-08-2021,REPORTING
GTM,North America,NA,Moderna - Spikevax,Spikevax,Moderna,25-02-2021,25-02-2021,REPORTING
MLT,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
QAT,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
GRC,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,23-12-2020,REPORTING
BOL,South America,SA,Moderna - Spikevax,Spikevax,Moderna,0,10-01-2022,REPORTING
GUM,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,18-12-2020,29-01-2021,REPORTING
AUT,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
CAN,North America,NA,Moderna - Spikevax,Spikevax,Moderna,23-12-2020,0,REPORTING
MKD,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,10-08-2022,REPORTING
GLP,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
SOM,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
PER,South America,SA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
BGR,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
ARE,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
LVA,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
GUY,South America,SA,Moderna - Spikevax,Spikevax,Moderna,0,03-07-2021,REPORTING
BWA,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,16-04-2021,26-03-2021,REPORTING
ITA,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,06-01-2021,REPORTING
SGP,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,03-02-2021,17-03-2021,REPORTING
HRV,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,30-12-2020,REPORTING
PLW,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,18-12-2020,03-01-2021,REPORTING
AFG,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
HTI,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
CHL,South America,SA,Moderna - Spikevax,Spikevax,Moderna,02-02-2022,02-02-2022,REPORTING
AUS,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,09-08-2021,20-09-2021,REPORTING
IRQ,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
BHR,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
AND,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,14-07-2021,REPORTING
GBR,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,11-01-2021,REPORTING
TUN,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,11-01-2021,13-03-2021,REPORTING
UGA,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
BRN,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,09-04-2021,21-06-2021,REPORTING
MDA,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,08-12-2021,REPORTING
COG,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,03-03-2021,23-03-2021,REPORTING
EGY,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,30-12-2020,24-01-2021,REPORTING
MAR,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
KGZ,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,15-12-2021,REPORTING
HUN,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
DNK,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,16-12-2020,REPORTING
GRD,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,23-03-2022,REPORTING
DMA,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,10-02-2022,REPORTING
IDN,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,01-07-2021,25-07-2021,REPORTING
TJK,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,28-07-2021,REPORTING
KHM,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,02-08-2021,16-12-2021,REPORTING
THA,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,13-05-2021,08-11-2021,REPORTING
KOR,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,21-05-2021,01-06-2021,REPORTING
POL,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,30-12-2020,REPORTING
UKR,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,21-07-2021,REPORTING
MEX,North America,NA,Moderna - Spikevax,Spikevax,Moderna,17-08-2021,13-01-2021,REPORTING
ROU,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,03-02-2021,REPORTING
FSM,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,18-12-2020,13-01-2021,REPORTING
MYS,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,05-08-2021,0,REPORTING
LUX,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,20-01-2021,REPORTING
NOR,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,06-01-2021,REPORTING
MHL,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,18-12-2020,29-12-2020,REPORTING
SVK,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,03-03-2021,REPORTING
USA,North America,NA,Moderna - Spikevax,Spikevax,Moderna,18-12-2020,21-12-2020,REPORTING
CPV,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
CUW,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
IRL,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-10-2021,REPORTING
OMN,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
PSE,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,25-01-2021,02-02-2021,REPORTING
DJI,Africa,AF,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
ARM,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,15-09-2021,REPORTING
DEU,Europe,EU,Moderna - Spikevax,Spikevax,Moderna,0,13-01-2021,REPORTING
VNM,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,28-06-2021,01-07-2021,REPORTING
WLF,Oceania,OC,Moderna - Spikevax,Spikevax,Moderna,06-01-2021,19-03-2021,REPORTING
YEM,Asia,AS,Moderna - Spikevax,Spikevax,Moderna,0,0,REPORTING
CRI,North America,NA,Moderna - Spikevax,Spikevax,Moderna,0,22-02-2022,REPORTING
TKM,Asia,AS,SRCVB - EpiVacCorona,EpiVacCorona,State Research Center of Virology & Biotechnology,0,24-02-2021,REPORTING
ETH,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,03-03-2021,13-03-2021,REPORTING
YEM,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
OMN,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
ZWE,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,18-02-2021,REPORTING
PSE,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
DJI,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
SYR,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
LBN,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
PHL,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,19-04-2021,0,REPORTING
SDN,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
IND,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,03-01-2021,16-01-2021,REPORTING
KWT,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
PRY,South America,SA,Bharat - Covaxin,Covaxin,Bharat Biotech,03-01-2021,10-04-2021,REPORTING
JOR,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
IRN,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,27-01-2021,09-02-2021,REPORTING
LBY,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
CAF,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,26-02-2021,19-03-2021,REPORTING
NPL,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,19-03-2021,0,REPORTING
PAK,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
PRT,Europe,EU,Bharat - Covaxin,Covaxin,Bharat Biotech,0,06-01-2021,REPORTING
SAU,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
IRQ,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
BHR,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
BWA,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,16-04-2021,0,REPORTING
SOM,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
ARE,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
QAT,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
EGY,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
MAR,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
MUS,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,18-03-2021,0,REPORTING
TUN,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,0,0,REPORTING
AFG,Asia,AS,Bharat - Covaxin,Covaxin,Bharat Biotech,23-02-2021,22-02-2021,REPORTING
COM,Africa,AF,Bharat - Covaxin,Covaxin,Bharat Biotech,01-02-2021,10-04-2021,REPORTING
ETH,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
FRA,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,21-04-2021,REPORTING
FIN,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,23-12-2020,REPORTING
ESP,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,21-04-2021,REPORTING
GUF,South America,SA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
PRI,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
ABW,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
LAO,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,23-06-2021,25-07-2021,REPORTING
VUT,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,22-12-2021,28-01-2022,REPORTING
SSD,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
ZMB,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
SYR,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,03-02-2021,01-04-2021,REPORTING
CIV,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,15-01-2021,0,REPORTING
LIE,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,13-10-2021,REPORTING
LBN,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,16-12-2020,14-02-2021,REPORTING
PHL,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,19-04-2021,19-07-2021,REPORTING
BRB,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,15-10-2021,REPORTING
MDV,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,06-02-2021,0,REPORTING
JOR,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,13-12-2020,13-01-2021,REPORTING
IRN,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
GIN,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,22-03-2021,05-03-2021,REPORTING
COL,South America,SA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,25-03-2021,23-06-2021,REPORTING
LTU,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,21-04-2021,REPORTING
ASM,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,27-02-2021,16-03-2021,REPORTING
CMR,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,22-07-2021,0,REPORTING
BFA,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,20-07-2021,0,REPORTING
NLD,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,21-04-2021,REPORTING
NIC,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,25-06-2021,08-10-2021,REPORTING
PNG,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,21-06-2021,28-08-2021,REPORTING
NZL,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,07-07-2021,0,REPORTING
IND,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,05-08-2021,0,REPORTING
KWT,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,13-12-2020,28-12-2020,REPORTING
BLZ,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,01-09-2021,REPORTING
BGD,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,15-06-2021,0,REPORTING
UZB,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,09-11-2022,REPORTING
RWA,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,11-06-2021,0,REPORTING
BHS,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,19-08-2021,REPORTING
CYP,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,28-04-2021,REPORTING
ISL,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,28-04-2021,REPORTING
CHE,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,23-12-2020,REPORTING
SDN,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,20-02-2021,09-03-2021,REPORTING
LCA,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
PRT,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,30-12-2020,REPORTING
SVN,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,03-03-2021,REPORTING
SAU,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,10-12-2020,06-01-2021,REPORTING
VGB,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
CZE,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,03-03-2021,REPORTING
MNP,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,27-02-2021,19-03-2021,REPORTING
KEN,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
HND,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,22-04-2021,REPORTING
ATG,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,27-08-2021,06-09-2021,REPORTING
NPL,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,30-06-2021,19-07-2021,REPORTING
PAK,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
MCO,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,27-04-2022,REPORTING
BEL,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,28-04-2021,REPORTING
MLT,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,24-02-2021,REPORTING
QAT,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
LBY,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,24-02-2021,11-04-2021,REPORTING
EST,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,28-04-2021,REPORTING
GUM,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,27-02-2021,15-03-2021,REPORTING
MWI,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
AUT,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,17-03-2021,REPORTING
CAN,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
BRA,South America,SA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,23-06-2021,REPORTING
PYF,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,25-03-2021,03-05-2021,REPORTING
BGR,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,12-05-2021,REPORTING
ARE,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
NAM,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,02-08-2021,0,REPORTING
LVA,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,06-01-2021,REPORTING
GRC,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,06-01-2021,REPORTING
BOL,South America,SA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,07-10-2021,REPORTING
ITA,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,06-01-2021,REPORTING
HRV,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,13-01-2021,REPORTING
SEN,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,20-07-2021,0,REPORTING
PLW,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,27-02-2021,21-03-2021,REPORTING
GLP,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
SOM,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,22-02-2021,16-03-2021,REPORTING
HTI,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
AUS,Oceania,OC,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,25-06-2021,0,REPORTING
IRQ,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
BHR,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,03-11-2020,04-11-2020,REPORTING
GUY,South America,SA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
BWA,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,26-03-2021,0,REPORTING
UGA,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
BRN,Asia,AS,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
TTO,North America,NA,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,23-10-2021,REPORTING
MDA,Europe,EU,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,26-05-2021,REPORTING
SWZ,Africa,AF,Janssen - Ad26.COV 2-S,Ad26.COV 2-S,Janssen Pharmaceuticals,0,0,REPORTING
