PROVINCIA_ESTADO,CASOS_CONFIRMADOS,DEFUNCIONES,CASOS_RECUPERADOS,CASOS_ACTIVOS,PAIS_ISO3,FECHA
Wyoming,115638,1526,,,USA,01.01.2022
Alabama,1568934,20737,,,USA,
Alaska,301432,1455,,,USA,
American Samoa,8266,34,,,ASM,
Arizona,2378334,32182,,,USA,
Arkansas,985747,12695,,,USA,
California,11835450,98544,,,USA,
Colorado,1734782,13882,,,USA,
Connecticut,949324,11781,,,USA,
Delaware,321888,3206,,,USA,
Diamond Princess,49,0,,,USA,
District of Columbia,173386,1411,,,USA,
Florida,7338503,83906,,,USA,
Georgia,2985193,41417,,,USA,
Grand Princess,103,3,,,USA,
Guam,60020,411,,,GUM,
Hawaii,372198,1761,,,USA,
Idaho,511601,5316,,,USA,
Illinois,3969832,40678,,,USA,
Indiana,2002760,25364,,,USA,
Iowa,886411,10424,,,USA,
Kansas,917065,9717,,,USA,
Kentucky,1662581,17671,,,USA,
Louisiana,1514113,18370,,,USA,
Maine,306647,2790,,,USA,
Maryland,1318234,15967,,,USA,
Massachusetts,2154886,22940,,,USA,
Michigan,2988654,40767,,,USA,
Minnesota,1736893,14320,,,USA,
Mississippi,955145,13097,,,USA,
Missouri,1732724,22246,,,USA,
Montana,323055,3621,,,USA,
Nebraska,555114,4685,,,USA,
Nevada,876118,11751,,,USA,
New Hampshire,367542,2856,,,USA,
New Jersey,2926834,35510,,,USA,
New Mexico,659056,8814,,,USA,
New York,6576267,75139,,,USA,
North Carolina,3316814,27629,,,USA,
North Dakota,280818,2427,,,USA,
Northern Mariana Islands,13319,41,,,MNP,
Ohio,3307568,41257,,,USA,
Oklahoma,1250013,17412,,,USA,
Oregon,939303,8962,,,USA,
Pennsylvania,3416142,48892,,,USA,
Puerto Rico,1054239,5541,,,PRI,
Rhode Island,443645,3770,,,USA,
South Carolina,1770059,18834,,,USA,
South Dakota,271856,3118,,,USA,
Tennessee,2440840,28589,,,USA,
Texas,8211474,91594,,,USA,
Utah,1074828,5187,,,USA,
Vermont,148393,791,,,USA,
Virgin Islands,23781,127,,,VIR,
Virginia,2199302,22670,,,USA,
Washington,1883676,15038,,,USA,
West Virginia,624721,7672,,,USA,
Wisconsin,1960878,15802,,,USA,
Wyoming,182847,1958,,,USA,
Alabama,369458,4872,202137.0,162449.0,USA,02.01.2021
Alaska,47821,215,7165.0,40441.0,USA,02.01.2021
American Samoa,0,0,,,ASM,02.01.2021
Arizona,539150,9061,77867.0,452222.0,USA,02.01.2021
Arkansas,231442,3729,203701.0,24012.0,USA,02.01.2021
California,2481294,26579,,,USA,02.01.2021
Colorado,364645,5451,18217.0,316043.0,USA,02.01.2021
Connecticut,190120,6099,9800.0,174221.0,USA,02.01.2021
Delaware,58873,1072,18851.0,38950.0,USA,02.01.2021
Diamond Princess,49,0,,,USA,02.01.2021
District of Columbia,29509,792,21002.0,7715.0,USA,02.01.2021
Florida,1354833,21890,,,USA,02.01.2021
Georgia,685122,10960,,,USA,02.01.2021
Grand Princess,103,3,,,USA,02.01.2021
Guam,7326,122,7047.0,157.0,GUM,02.01.2021
Hawaii,22448,289,11958.0,10201.0,USA,02.01.2021
Idaho,142199,1448,58649.0,82102.0,USA,02.01.2021
Illinois,975352,18217,,,USA,02.01.2021
Indiana,523090,9562,347401.0,166127.0,USA,02.01.2021
Iowa,283895,3946,243214.0,36735.0,USA,02.01.2021
Kansas,229983,2893,4612.0,222614.0,USA,02.01.2021
Kentucky,273970,2698,37273.0,233999.0,USA,02.01.2021
Louisiana,315275,7488,263712.0,44075.0,USA,02.01.2021
Maine,25245,358,11438.0,13449.0,USA,02.01.2021
Maryland,283171,5967,9374.0,267830.0,USA,02.01.2021
Massachusetts,384181,10589,261672.0,110007.0,USA,02.01.2021
Michigan,538121,13306,363611.0,161204.0,USA,02.01.2021
Minnesota,417832,5436,398199.0,14197.0,USA,02.01.2021
Mississippi,220277,4840,167263.0,48174.0,USA,02.01.2021
Missouri,448387,5751,,,USA,02.01.2021
Montana,81944,971,75974.0,4999.0,USA,02.01.2021
Nebraska,168262,1669,109705.0,56888.0,USA,02.01.2021
Nevada,228871,3148,,,USA,02.01.2021
New Hampshire,46614,769,37947.0,7898.0,USA,02.01.2021
New Jersey,541202,19187,56575.0,465440.0,USA,02.01.2021
New Mexico,145379,2534,67573.0,75272.0,USA,02.01.2021
New York,1011665,38093,103828.0,869744.0,USA,02.01.2021
North Carolina,558437,6892,403488.0,148057.0,USA,02.01.2021
North Dakota,92376,1317,89582.0,1992.0,USA,02.01.2021
Northern Mariana Islands,122,2,29.0,91.0,MNP,02.01.2021
Ohio,714673,13919,573641.0,127113.0,USA,02.01.2021
Oklahoma,296343,2527,259841.0,33975.0,USA,02.01.2021
Oregon,116348,1492,5870.0,108986.0,USA,02.01.2021
Pennsylvania,664966,16273,453531.0,195162.0,USA,02.01.2021
Puerto Rico,77932,1526,68340.0,8066.0,PRI,02.01.2021
