PROVINCIA_ESTADO,CASOS_CONFIRMADOS,DEFUNCIONES,CASOS_RECUPERADOS,CASOS_ACTIVOS,PAIS_ISO3,FECHA
Virginia,459604,5940,36379.0,417285.0,USA,21.01.2021
Washington,296087,4065,,,USA,21.01.2021
West Virginia,112617,1849,85031.0,25737.0,USA,21.01.2021
Wisconsin,575688,6090,498368.0,71230.0,USA,21.01.2021
Wyoming,50424,550,47964.0,1910.0,USA,21.01.2021
Alabama,1120881,16824,,,USA,21.01.2022
Alaska,195345,1051,,,USA,21.01.2022
American Samoa,18,0,,,ASM,21.01.2022
Arizona,1701949,25502,,,USA,21.01.2022
Arkansas,726716,9484,,,USA,21.01.2022
California,7643131,78398,,,USA,21.01.2022
Colorado,1312046,11744,,,USA,21.01.2022
Connecticut,671674,9769,,,USA,21.01.2022
Delaware,236022,2457,,,USA,21.01.2022
Diamond Princess,49,0,,,USA,21.01.2022
District of Columbia,127200,1267,,,USA,21.01.2022
Florida,5323337,63763,,,USA,21.01.2022
Georgia,2229675,32294,,,USA,21.01.2022
Grand Princess,103,3,,,USA,21.01.2022
Guam,26851,276,,,GUM,21.01.2022
Hawaii,195151,1137,,,USA,21.01.2022
Idaho,356112,4323,,,USA,21.01.2022
Illinois,2773401,33415,,,USA,21.01.2022
Indiana,1524527,20751,,,USA,21.01.2022
Iowa,669705,8317,,,USA,21.01.2022
Kansas,679905,7320,,,USA,21.01.2022
Kentucky,1056284,12687,,,USA,21.01.2022
Louisiana,1060022,15324,,,USA,21.01.2022
Maine,165691,1693,,,USA,21.01.2022
Maryland,947784,13022,,,USA,21.01.2022
Massachusetts,1535901,17819,,,USA,21.01.2022
Michigan,2124186,31499,,,USA,21.01.2022
Minnesota,1216734,11291,,,USA,21.01.2022
Mississippi,681382,10721,,,USA,21.01.2022
Missouri,1255363,17241,,,USA,21.01.2022
Montana,222093,2976,,,USA,21.01.2022
Nebraska,413056,3569,,,USA,21.01.2022
Nevada,614505,8735,,,USA,21.01.2022
New Hampshire,257795,2135,,,USA,21.01.2022
New Jersey,2049573,30618,,,USA,21.01.2022
New Mexico,437927,6258,,,USA,21.01.2022
New York,4653025,63098,,,USA,21.01.2022
North Carolina,2212752,20193,,,USA,21.01.2022
North Dakota,210540,2114,,,USA,21.01.2022
Northern Mariana Islands,4166,21,,,MNP,21.01.2022
Ohio,2480566,35067,,,USA,21.01.2022
Oklahoma,880342,12968,,,USA,21.01.2022
Oregon,570892,5936,,,USA,21.01.2022
Pennsylvania,2542816,39362,,,USA,21.01.2022
Puerto Rico,432935,3631,,,PRI,21.01.2022
Rhode Island,327109,3240,,,USA,21.01.2022
South Carolina,1265710,15108,,,USA,21.01.2022
South Dakota,216656,2601,,,USA,21.01.2022
Tennessee,1750578,22030,,,USA,21.01.2022
Texas,5821021,77833,,,USA,21.01.2022
Utah,825989,4030,,,USA,21.01.2022
Vermont,96415,514,,,USA,21.01.2022
Virgin Islands,14301,95,,,VIR,21.01.2022
Virginia,1451713,15852,,,USA,21.01.2022
Washington,1152026,10401,,,USA,21.01.2022
West Virginia,407131,5609,,,USA,21.01.2022
Wisconsin,1446207,11946,,,USA,21.01.2022
Wyoming,135369,1601,,,USA,21.01.2022
Alabama,1602891,20846,,,USA,
Alaska,302921,1455,,,USA,
American Samoa,8317,34,,,ASM,
Arizona,2394646,32631,,,USA,
Arkansas,994080,12788,,,USA,
California,11960609,99595,,,USA,
Colorado,1744018,13985,,,USA,
Connecticut,962942,11905,,,USA,
Delaware,325083,3243,,,USA,
Diamond Princess,49,0,,,USA,
District of Columbia,175569,1421,,,USA,
Florida,7443954,84927,,,USA,
Georgia,3020166,41772,,,USA,
Grand Princess,103,3,,,USA,
Guam,60585,415,,,GUM,
Hawaii,375925,1775,,,USA,
Idaho,514326,5344,,,USA,
Illinois,4008844,40980,,,USA,
Indiana,2020938,25796,,,USA,
Iowa,892558,10538,,,USA,
Kansas,924193,9903,,,USA,
Kentucky,1680601,17793,,,USA,
Louisiana,1533257,18479,,,USA,
Maine,310409,2854,,,USA,
Maryland,1337975,16173,,,USA,
Massachusetts,2186426,23405,,,USA,
Michigan,3017948,41185,,,USA,
Minnesota,1747751,14476,,,USA,
Mississippi,970585,13151,,,USA,
Missouri,1749983,22493,,,USA,
Montana,325227,3633,,,USA,
Nebraska,558923,4734,,,USA,
Nevada,881498,11834,,,USA,
New Hampshire,372121,2920,,,USA,
New Jersey,2981852,35725,,,USA,
New Mexico,663299,8919,,,USA,
New York,6674006,75945,,,USA,
North Carolina,3398161,27967,,,USA,
North Dakota,282427,2442,,,USA,
Northern Mariana Islands,13485,41,,,MNP,
Ohio,3339612,41563,,,USA,
Oklahoma,1265785,17581,,,USA,
Oregon,946727,9141,,,USA,
Pennsylvania,3458136,49397,,,USA,
Puerto Rico,1075840,5642,,,PRI,
Rhode Island,452557,3812,,,USA,
South Carolina,1799966,19069,,,USA,
South Dakota,273354,3145,,,USA,
Tennessee,2468214,28883,,,USA,
Texas,8311755,92121,,,USA,
Utah,1080067,5234,,,USA,
Vermont,149687,884,,,USA,
Virgin Islands,24269,129,,,VIR,
Virginia,2240431,22962,,,USA,
Washington,1899401,15312,,,USA,
West Virginia,631811,7802,,,USA,
Wisconsin,1977071,16006,,,USA,
Wyoming,183586,1970,,,USA,
Alabama,436087,6486,233211.0,196390.0,USA,22.01.2021
Alaska,52926,254,,,USA,22.01.2021
American Samoa,0,0,,,ASM,22.01.2021
Arizona,708041,12001,96193.0,599847.0,USA,22.01.2021
Arkansas,281382,4549,256696.0,20137.0,USA,22.01.2021
California,3203924,35713,,,USA,22.01.2021
Colorado,402891,5816,20395.0,357151.0,USA,22.01.2021
Connecticut,237815,6819,9800.0,221196.0,USA,22.01.2021
Delaware,73233,1252,,,USA,22.01.2021
Diamond Princess,49,0,,,USA,22.01.2021
District of Columbia,34905,867,24251.0,9787.0,USA,22.01.2021
Florida,1627603,25011,,,USA,22.01.2021
Georgia,853173,13060,,,USA,22.01.2021
Grand Princess,103,3,,,USA,22.01.2021
Guam,7547,128,7293.0,126.0,GUM,22.01.2021
Hawaii,25658,332,,,USA,22.01.2021
Idaho,158798,1667,74269.0,82862.0,USA,22.01.2021
Illinois,1093375,20534,,,USA,22.01.2021
Indiana,605426,10903,388141.0,206382.0,USA,22.01.2021
Iowa,311695,4478,273035.0,34182.0,USA,22.01.2021
Kansas,268585,3616,5384.0,259908.0,USA,22.01.2021
Kentucky,340778,3337,41562.0,295879.0,USA,22.01.2021
Louisiana,380255,8483,320025.0,51747.0,USA,22.01.2021
Maine,36274,540,12187.0,23547.0,USA,22.01.2021
Maryland,336915,6792,9469.0,320654.0,USA,22.01.2021
Massachusetts,491452,11850,354388.0,123077.0,USA,22.01.2021
Michigan,594920,14951,442408.0,137561.0,USA,22.01.2021
Minnesota,452268,6100,434515.0,11653.0,USA,22.01.2021
Mississippi,261167,5713,207769.0,47685.0,USA,22.01.2021
Missouri,514216,6823,,,USA,22.01.2021
Montana,91049,1104,85095.0,4850.0,USA,22.01.2021
Nebraska,186255,1878,130527.0,53850.0,USA,22.01.2021
Nevada,268212,3958,,,USA,22.01.2021
New Hampshire,61206,971,53773.0,6462.0,USA,22.01.2021
New Jersey,650389,20875,64466.0,565048.0,USA,22.01.2021
New Mexico,167731,3077,92109.0,72545.0,USA,22.01.2021
New York,1309403,41786,119953.0,1147664.0,USA,22.01.2021
North Carolina,705535,8464,579573.0,117498.0,USA,22.01.2021
North Dakota,96136,1428,93980.0,1157.0,USA,22.01.2021
Northern Mariana Islands,129,2,29.0,98.0,MNP,22.01.2021
Ohio,853982,16527,720171.0,117282.0,USA,22.01.2021
Oklahoma,366576,3187,330478.0,32911.0,USA,22.01.2021
Oregon,136839,1865,,,USA,22.01.2021
Pennsylvania,802601,20340,627395.0,154866.0,USA,22.01.2021
Puerto Rico,89282,1761,73760.0,13761.0,PRI,22.01.2021
Rhode Island,109735,2248,6626.0,100861.0,USA,22.01.2021
South Carolina,409188,6404,183146.0,219638.0,USA,22.01.2021
South Dakota,106716,1684,100942.0,4090.0,USA,22.01.2021
Tennessee,696327,8777,646144.0,41703.0,USA,22.01.2021
Texas,2261399,34430,1785578.0,438640.0,USA,22.01.2021
Utah,333118,1571,279908.0,51639.0,USA,22.01.2021
Vermont,10759,169,7177.0,3413.0,USA,22.01.2021
Virgin Islands,2321,24,2190.0,107.0,VIR,22.01.2021
Virginia,463751,6002,36577.0,421172.0,USA,22.01.2021
Washington,298249,4114,,,USA,22.01.2021
West Virginia,113615,1856,86417.0,25342.0,USA,22.01.2021
Wisconsin,577991,6135,500685.0,71171.0,USA,22.01.2021
Wyoming,50583,571,48316.0,1696.0,USA,22.01.2021
Alabama,1137387,16826,,,USA,22.01.2022
Alaska,195345,1051,,,USA,22.01.2022
American Samoa,18,0,,,ASM,22.01.2022
Arizona,1729630,25557,,,USA,22.01.2022
Arkansas,734834,9498,,,USA,22.01.2022
California,7683938,78469,,,USA,22.01.2022
Colorado,1317514,11773,,,USA,22.01.2022
Connecticut,671674,9769,,,USA,22.01.2022
Delaware,238501,2480,,,USA,22.01.2022
Diamond Princess,49,0,,,USA,22.01.2022
District of Columbia,127200,1267,,,USA,22.01.2022
Florida,5324438,63763,,,USA,22.01.2022
Georgia,2229675,32294,,,USA,22.01.2022
Grand Princess,103,3,,,USA,22.01.2022
Guam,26851,276,,,GUM,22.01.2022
Hawaii,199106,1142,,,USA,22.01.2022
Idaho,358057,4322,,,USA,22.01.2022
Illinois,2773401,33446,,,USA,22.01.2022
Indiana,1524527,20751,,,USA,22.01.2022
Iowa,682363,8317,,,USA,22.01.2022
Kansas,680731,7321,,,USA,22.01.2022
Kentucky,1056284,12687,,,USA,22.01.2022
Louisiana,1060022,15324,,,USA,22.01.2022
Maine,166898,1698,,,USA,22.01.2022
Maryland,952852,13101,,,USA,22.01.2022
Massachusetts,1535986,17819,,,USA,22.01.2022
Michigan,2124225,31502,,,USA,22.01.2022
Minnesota,1216734,11291,,,USA,22.01.2022
Mississippi,681382,10721,,,USA,22.01.2022
Missouri,1265951,17252,,,USA,22.01.2022
Montana,222093,2976,,,USA,22.01.2022
Nebraska,413056,3569,,,USA,22.01.2022
Nevada,614505,8735,,,USA,22.01.2022
New Hampshire,257795,2135,,,USA,22.01.2022
New Jersey,2058497,30746,,,USA,22.01.2022
New Mexico,437934,6259,,,USA,22.01.2022
New York,4675346,63191,,,USA,22.01.2022
North Carolina,2212752,20193,,,USA,22.01.2022
North Dakota,211507,2116,,,USA,22.01.2022
Northern Mariana Islands,4208,22,,,MNP,22.01.2022
Ohio,2496243,35210,,,USA,22.01.2022
Oklahoma,893913,12968,,,USA,22.01.2022
Oregon,570892,5936,,,USA,22.01.2022
Pennsylvania,2560167,39487,,,USA,22.01.2022
Puerto Rico,438800,3673,,,PRI,22.01.2022
Rhode Island,327109,3240,,,USA,22.01.2022
South Carolina,1265710,15108,,,USA,22.01.2022
South Dakota,216656,2601,,,USA,22.01.2022
Tennessee,1767668,22030,,,USA,22.01.2022
Texas,5882649,77997,,,USA,22.01.2022
Utah,825989,4030,,,USA,22.01.2022
Vermont,97994,514,,,USA,22.01.2022
Virgin Islands,14398,96,,,VIR,22.01.2022
Virginia,1451713,15852,,,USA,22.01.2022
Washington,1151835,10405,,,USA,22.01.2022
West Virginia,413631,5609,,,USA,22.01.2022
Wisconsin,1446207,11946,,,USA,22.01.2022
Wyoming,135369,1601,,,USA,22.01.2022
Alabama,1602891,20846,,,USA,
Alaska,302921,1455,,,USA,
American Samoa,8317,34,,,ASM,
Arizona,2394646,32631,,,USA,
Arkansas,994186,12788,,,USA,
California,11960726,99595,,,USA,
Colorado,1744018,13985,,,USA,
Connecticut,963166,11905,,,USA,
Delaware,325083,3243,,,USA,
Diamond Princess,49,0,,,USA,
District of Columbia,175569,1421,,,USA,
Florida,7443954,84927,,,USA,
Georgia,3020166,41772,,,USA,
Grand Princess,103,3,,,USA,
Guam,60585,415,,,GUM,
Hawaii,375925,1775,,,USA,
Idaho,514326,5344,,,USA,
Illinois,4008844,40980,,,USA,
Indiana,2020938,25796,,,USA,
Iowa,892558,10538,,,USA,
Kansas,924193,9903,,,USA,
Kentucky,1680601,17793,,,USA,
Louisiana,1533257,18479,,,USA,
Maine,310409,2854,,,USA,
Maryland,1337975,16173,,,USA,
Massachusetts,2186426,23405,,,USA,
Michigan,3017948,41185,,,USA,
Minnesota,1747751,14476,,,USA,
Mississippi,970585,13151,,,USA,
Missouri,1749983,22493,,,USA,
Montana,325227,3633,,,USA,
Nebraska,558923,4734,,,USA,
Nevada,881498,11834,,,USA,
New Hampshire,372121,2920,,,USA,
New Jersey,2981852,35725,,,USA,
New Mexico,663299,8919,,,USA,
New York,6675480,75945,,,USA,
North Carolina,3398161,27967,,,USA,
North Dakota,282451,2442,,,USA,
Northern Mariana Islands,13485,41,,,MNP,
Ohio,3339612,41573,,,USA,
Oklahoma,1265785,17581,,,USA,
Oregon,946727,9141,,,USA,
Pennsylvania,3458136,49397,,,USA,
Puerto Rico,1076751,5642,,,PRI,
Rhode Island,452557,3812,,,USA,
South Carolina,1799966,19069,,,USA,
South Dakota,273354,3145,,,USA,
Tennessee,2468611,28886,,,USA,
Texas,8311790,92121,,,USA,
Utah,1080067,5234,,,USA,
Vermont,149687,884,,,USA,
Virgin Islands,24269,129,,,VIR,
Virginia,2240431,22962,,,USA,
Washington,1899401,15312,,,USA,
West Virginia,631811,7802,,,USA,
Wisconsin,1977071,16006,,,USA,
Wyoming,183586,1970,,,USA,
Alabama,439442,6657,233211.0,199574.0,USA,23.01.2021
Alaska,53175,259,,,USA,23.01.2021
American Samoa,0,0,,,ASM,23.01.2021
Arizona,715357,12170,97062.0,606125.0,USA,23.01.2021
Arkansas,282995,4563,258483.0,19949.0,USA,23.01.2021
California,3228223,36406,,,USA,23.01.2021
Colorado,403935,5823,20468.0,359016.0,USA,23.01.2021
Connecticut,237815,6819,9800.0,221196.0,USA,23.01.2021
Delaware,73915,1254,,,USA,23.01.2021
Diamond Princess,49,0,,,USA,23.01.2021
District of Columbia,35077,870,24572.0,9635.0,USA,23.01.2021
Florida,1639914,25164,,,USA,23.01.2021
Georgia,862158,13246,,,USA,23.01.2021
Grand Princess,103,3,,,USA,23.01.2021
Guam,7547,128,7293.0,126.0,GUM,23.01.2021
Hawaii,25758,336,,,USA,23.01.2021
Idaho,159325,1668,75041.0,82616.0,USA,23.01.2021
Illinois,1098527,20645,,,USA,23.01.2021
Indiana,608519,10950,389773.0,207796.0,USA,23.01.2021
Iowa,312622,4486,273189.0,34947.0,USA,23.01.2021
Kansas,268658,3616,5384.0,259908.0,USA,23.01.2021
Kentucky,344567,3386,41633.0,299548.0,USA,23.01.2021
Louisiana,380255,8483,320025.0,51747.0,USA,23.01.2021
Maine,36598,544,12225.0,23829.0,USA,23.01.2021
Maryland,339307,6837,9471.0,322999.0,USA,23.01.2021
Massachusetts,496093,11905,354388.0,127641.0,USA,23.01.2021
Michigan,596746,15181,463106.0,118459.0,USA,23.01.2021
Minnesota,453808,6131,436544.0,11133.0,USA,23.01.2021
Mississippi,263023,5752,207769.0,49502.0,USA,23.01.2021
Missouri,516474,6841,,,USA,23.01.2021
Montana,91410,1141,85686.0,4583.0,USA,23.01.2021
Nebraska,186854,1879,131242.0,53733.0,USA,23.01.2021
Nevada,269713,4011,,,USA,23.01.2021
New Hampshire,61995,981,54644.0,6370.0,USA,23.01.2021
New Jersey,657536,20934,64877.0,571725.0,USA,23.01.2021
New Mexico,168579,3115,93141.0,72323.0,USA,23.01.2021
New York,1323312,41950,120901.0,1160461.0,USA,23.01.2021
North Carolina,712716,8586,579573.0,124557.0,USA,23.01.2021
North Dakota,96231,1436,94148.0,1136.0,USA,23.01.2021
Northern Mariana Islands,129,2,29.0,98.0,MNP,23.01.2021
Ohio,859841,16626,724135.0,119078.0,USA,23.01.2021
Oklahoma,370751,3231,334643.0,32877.0,USA,23.01.2021
Oregon,137600,1877,,,USA,23.01.2021
Pennsylvania,808464,20527,631966.0,155971.0,USA,23.01.2021
Puerto Rico,90073,1771,73760.0,14542.0,PRI,23.01.2021
Rhode Island,109735,2256,6626.0,100853.0,USA,23.01.2021
South Carolina,413789,6479,184542.0,222768.0,USA,23.01.2021
South Dakota,106963,1696,101246.0,4021.0,USA,23.01.2021
Tennessee,700793,8819,651283.0,41002.0,USA,23.01.2021
Texas,2279093,34773,1797979.0,443567.0,USA,23.01.2021
Utah,334889,1582,281854.0,51453.0,USA,23.01.2021
Vermont,10908,170,7294.0,3444.0,USA,23.01.2021
Virgin Islands,2341,24,2213.0,104.0,VIR,23.01.2021
Virginia,468655,6079,36817.0,425759.0,USA,23.01.2021
Washington,300198,4114,,,USA,23.01.2021
West Virginia,114752,1872,88024.0,24856.0,USA,23.01.2021
Wisconsin,580003,6184,502593.0,71226.0,USA,23.01.2021
Wyoming,50583,571,48316.0,1696.0,USA,23.01.2021
Alabama,1147194,16826,,,USA,23.01.2022
Alaska,195345,1051,,,USA,23.01.2022
American Samoa,18,0,,,ASM,23.01.2022
Arizona,1752552,25623,,,USA,23.01.2022
Arkansas,738638,9510,,,USA,23.01.2022
California,7863011,78538,,,USA,23.01.2022
Colorado,1321902,11798,,,USA,23.01.2022
Connecticut,671674,9769,,,USA,23.01.2022
Delaware,240179,2480,,,USA,23.01.2022
Diamond Princess,49,0,,,USA,23.01.2022
District of Columbia,127200,1267,,,USA,23.01.2022
Florida,5324438,63763,,,USA,23.01.2022
Georgia,2229675,32294,,,USA,23.01.2022
Grand Princess,103,3,,,USA,23.01.2022
Guam,26851,276,,,GUM,23.01.2022
Hawaii,202273,1146,,,USA,23.01.2022
Idaho,358057,4322,,,USA,23.01.2022
Illinois,2773401,33446,,,USA,23.01.2022
Indiana,1524527,20751,,,USA,23.01.2022
Iowa,682363,8317,,,USA,23.01.2022
Kansas,680731,7321,,,USA,23.01.2022
Kentucky,1056284,12687,,,USA,23.01.2022
Louisiana,1060022,15324,,,USA,23.01.2022
Maine,166899,1698,,,USA,23.01.2022
Maryland,956638,13123,,,USA,23.01.2022
Massachusetts,1535986,17819,,,USA,23.01.2022
Michigan,2124225,31502,,,USA,23.01.2022
Minnesota,1216734,11291,,,USA,23.01.2022
Mississippi,681382,10721,,,USA,23.01.2022
Missouri,1272797,17253,,,USA,23.01.2022
Montana,222093,2976,,,USA,23.01.2022
Nebraska,413056,3569,,,USA,23.01.2022
Nevada,614505,8735,,,USA,23.01.2022
New Hampshire,257795,2135,,,USA,23.01.2022
New Jersey,2067692,30759,,,USA,23.01.2022
New Mexico,437934,6259,,,USA,23.01.2022
New York,4701632,63413,,,USA,23.01.2022
North Carolina,2212752,20193,,,USA,23.01.2022
North Dakota,212119,2116,,,USA,23.01.2022
Northern Mariana Islands,4246,22,,,MNP,23.01.2022
Ohio,2506175,35359,,,USA,23.01.2022
Oklahoma,893913,12968,,,USA,23.01.2022
Oregon,570892,5936,,,USA,23.01.2022
Pennsylvania,2572500,39538,,,USA,23.01.2022
Puerto Rico,442514,3696,,,PRI,23.01.2022
Rhode Island,327109,3240,,,USA,23.01.2022
South Carolina,1265710,15108,,,USA,23.01.2022
South Dakota,216656,2601,,,USA,23.01.2022
Tennessee,1776621,22047,,,USA,23.01.2022
Texas,5940663,78065,,,USA,23.01.2022
Utah,825989,4030,,,USA,23.01.2022
Vermont,99109,514,,,USA,23.01.2022
Virgin Islands,14398,96,,,VIR,23.01.2022
Virginia,1451713,15852,,,USA,23.01.2022
Washington,1151835,10405,,,USA,23.01.2022
West Virginia,418887,5609,,,USA,23.01.2022
Wisconsin,1446207,11946,,,USA,23.01.2022
Wyoming,135369,1601,,,USA,23.01.2022
Alabama,1602891,20846,,,USA,
Alaska,302921,1455,,,USA,
American Samoa,8317,34,,,ASM,
Arizona,2394646,32631,,,USA,
Arkansas,994310,12788,,,USA,
California,11961071,99595,,,USA,
Colorado,1745313,13995,,,USA,
Connecticut,963326,11905,,,USA,
Delaware,325083,3243,,,USA,
Diamond Princess,49,0,,,USA,
District of Columbia,175569,1421,,,USA,
Florida,7443954,84927,,,USA,
Georgia,3020166,41772,,,USA,
Grand Princess,103,3,,,USA,
Guam,60620,415,,,GUM,
Hawaii,375925,1775,,,USA,
Idaho,514326,5344,,,USA,
Illinois,4008844,40980,,,USA,
Indiana,2020938,25796,,,USA,
Iowa,892558,10538,,,USA,
Kansas,924206,9903,,,USA,
Kentucky,1685679,17838,,,USA,
Louisiana,1533257,18479,,,USA,
Maine,310409,2854,,,USA,
Maryland,1339074,16191,,,USA,
Massachusetts,2186426,23405,,,USA,
Michigan,3017948,41185,,,USA,
Minnesota,1747751,14476,,,USA,
Mississippi,970585,13151,,,USA,
Missouri,1750083,22493,,,USA,
Montana,325227,3633,,,USA,
Nebraska,558923,4734,,,USA,
Nevada,881498,11834,,,USA,
New Hampshire,372479,2924,,,USA,
New Jersey,2986919,35738,,,USA,
New Mexico,663663,8924,,,USA,
New York,6686707,76088,,,USA,
North Carolina,3398161,27967,,,USA,
North Dakota,282600,2442,,,USA,
Northern Mariana Islands,13485,41,,,MNP,
Ohio,3339612,41583,,,USA,
Oklahoma,1265785,17581,,,USA,
Oregon,946727,9141,,,USA,
Pennsylvania,3459061,49397,,,USA,
Puerto Rico,1077096,5642,,,PRI,
Rhode Island,452557,3812,,,USA,
South Carolina,1799966,19069,,,USA,
South Dakota,273354,3145,,,USA,
Tennessee,2470177,28918,,,USA,
Texas,8312555,92123,,,USA,
Utah,1080067,5234,,,USA,
Vermont,149687,884,,,USA,
Virgin Islands,24362,129,,,VIR,
Virginia,2240431,22962,,,USA,
Washington,1899401,15312,,,USA,
West Virginia,632411,7808,,,USA,
Wisconsin,1978416,16032,,,USA,
Wyoming,183586,1970,,,USA,
Alabama,441170,6660,233211.0,201299.0,USA,24.01.2021
Alaska,53336,259,,,USA,24.01.2021
American Samoa,0,0,,,ASM,24.01.2021
Arizona,722574,12238,97960.0,612376.0,USA,24.01.2021
Arkansas,284066,4606,260034.0,19426.0,USA,24.01.2021
California,3254111,36641,,,USA,24.01.2021
Colorado,404901,5827,20569.0,360211.0,USA,24.01.2021
Connecticut,237815,6819,9800.0,221196.0,USA,24.01.2021
Delaware,74575,1267,,,USA,24.01.2021
Diamond Princess,49,0,,,USA,24.01.2021
District of Columbia,35301,872,24697.0,9732.0,USA,24.01.2021
Florida,1649449,25293,,,USA,24.01.2021
Georgia,866911,13250,,,USA,24.01.2021
Grand Princess,103,3,,,USA,24.01.2021
Guam,7547,128,7293.0,126.0,GUM,24.01.2021
Hawaii,25925,342,,,USA,24.01.2021
Idaho,159506,1669,75752.0,82085.0,USA,24.01.2021
Illinois,1101819,20680,,,USA,24.01.2021
Indiana,611039,10996,390699.0,209344.0,USA,24.01.2021
Iowa,313137,4487,274101.0,34549.0,USA,24.01.2021
Kansas,268658,3616,5384.0,259908.0,USA,24.01.2021
Kentucky,346138,3421,41660.0,301057.0,USA,24.01.2021
Louisiana,383862,8565,320025.0,55272.0,USA,24.01.2021
Maine,36598,544,12225.0,23829.0,USA,24.01.2021
Maryland,341452,6865,9474.0,325113.0,USA,24.01.2021
Massachusetts,500037,11958,354388.0,131516.0,USA,24.01.2021
Michigan,596746,15181,463106.0,118459.0,USA,24.01.2021
Minnesota,454989,6163,437827.0,10999.0,USA,24.01.2021
Mississippi,264219,5772,207769.0,50678.0,USA,24.01.2021
Missouri,518742,6848,,,USA,24.01.2021
Montana,91652,1151,85881.0,4620.0,USA,24.01.2021
Nebraska,187147,1879,131828.0,53440.0,USA,24.01.2021
Nevada,270907,4026,,,USA,24.01.2021
New Hampshire,62492,987,55228.0,6277.0,USA,24.01.2021
New Jersey,662808,20951,65274.0,576583.0,USA,24.01.2021
New Mexico,169205,3145,94141.0,71919.0,USA,24.01.2021
New York,1335695,42144,121923.0,1171628.0,USA,24.01.2021
North Carolina,718812,8695,579573.0,130544.0,USA,24.01.2021
North Dakota,96285,1436,94309.0,1072.0,USA,24.01.2021
Northern Mariana Islands,129,2,29.0,98.0,MNP,24.01.2021
Ohio,864322,16734,731088.0,116498.0,USA,24.01.2021
Oklahoma,373703,3279,337228.0,33196.0,USA,24.01.2021
Oregon,138168,1880,,,USA,24.01.2021
Pennsylvania,812285,20606,631966.0,159713.0,USA,24.01.2021
Puerto Rico,91028,1773,73760.0,15495.0,PRI,24.01.2021
Rhode Island,109735,2272,6626.0,100837.0,USA,24.01.2021
South Carolina,418325,6547,186248.0,225530.0,USA,24.01.2021
South Dakota,107148,1705,101438.0,4005.0,USA,24.01.2021
Tennessee,702386,8859,654335.0,39510.0,USA,24.01.2021
Texas,2290671,34960,1809067.0,443858.0,USA,24.01.2021
Utah,336405,1595,283690.0,51120.0,USA,24.01.2021
Vermont,11033,170,7396.0,3467.0,USA,24.01.2021
Virgin Islands,2341,24,2234.0,83.0,VIR,24.01.2021
Virginia,472447,6078,37076.0,429293.0,USA,24.01.2021
Washington,300198,4114,,,USA,24.01.2021
West Virginia,115307,1895,88933.0,24479.0,USA,24.01.2021
Wisconsin,581377,6190,504238.0,70949.0,USA,24.01.2021
Wyoming,50898,571,48571.0,1756.0,USA,24.01.2021
Alabama,1153149,16826,,,USA,24.01.2022
Alaska,201016,1072,,,USA,24.01.2022
American Samoa,18,0,,,ASM,24.01.2022
Arizona,1767302,25624,,,USA,24.01.2022
Arkansas,741881,9532,,,USA,24.01.2022
California,7971108,78720,,,USA,24.01.2022
Colorado,1333322,11857,,,USA,24.01.2022
Connecticut,683731,9774,,,USA,24.01.2022
Delaware,241367,2480,,,USA,24.01.2022
Diamond Princess,49,0,,,USA,24.01.2022
District of Columbia,128550,1275,,,USA,24.01.2022
Florida,5347828,63763,,,USA,24.01.2022
Georgia,2272461,32389,,,USA,24.01.2022
Grand Princess,103,3,,,USA,24.01.2022
Guam,27869,280,,,GUM,24.01.2022
Hawaii,204933,1146,,,USA,24.01.2022
Idaho,361059,4331,,,USA,24.01.2022
Illinois,2837976,33756,,,USA,24.01.2022
Indiana,1560117,20796,,,USA,24.01.2022
Iowa,682363,8317,,,USA,24.01.2022
Kansas,694251,7338,,,USA,24.01.2022
Kentucky,1085051,12763,,,USA,24.01.2022
Louisiana,1076385,15374,,,USA,24.01.2022
Maine,166899,1698,,,USA,24.01.2022
Maryland,959426,13158,,,USA,24.01.2022
Massachusetts,1563019,17900,,,USA,24.01.2022
Michigan,2168367,31539,,,USA,24.01.2022
Minnesota,1229444,11333,,,USA,24.01.2022
Mississippi,694093,10734,,,USA,24.01.2022
Missouri,1279926,17275,,,USA,24.01.2022
Montana,227094,2985,,,USA,24.01.2022
Nebraska,421423,3569,,,USA,24.01.2022
Nevada,630343,8759,,,USA,24.01.2022
New Hampshire,265140,2145,,,USA,24.01.2022
New Jersey,2072536,30799,,,USA,24.01.2022
New Mexico,452616,6292,,,USA,24.01.2022
New York,4714010,63519,,,USA,24.01.2022
North Carolina,2290179,20289,,,USA,24.01.2022
North Dakota,214565,2116,,,USA,24.01.2022
Northern Mariana Islands,4265,22,,,MNP,24.01.2022
Ohio,2515949,35486,,,USA,24.01.2022
Oklahoma,914063,13063,,,USA,24.01.2022
Oregon,590270,5953,,,USA,24.01.2022
Pennsylvania,2581831,39560,,,USA,24.01.2022
Puerto Rico,444743,3704,,,PRI,24.01.2022
Rhode Island,332961,3253,,,USA,24.01.2022
South Carolina,1265710,15108,,,USA,24.01.2022
South Dakota,218543,2606,,,USA,24.01.2022
Tennessee,1792889,22133,,,USA,24.01.2022
Texas,5980546,78125,,,USA,24.01.2022
Utah,847959,4063,,,USA,24.01.2022
Vermont,99651,521,,,USA,24.01.2022
Virgin Islands,14478,97,,,VIR,24.01.2022
Virginia,1481294,15948,,,USA,24.01.2022
