,PAIS_ISO3,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
104,BRN,Western Pacific,283345,64767.68,1389,317.501,0,151,34.516,0,0.0,0
105,Z99,Europe,273621,15237.856,95,5.291,0,3202,178.318,0,0.0,0
106,DZA,Africa,271569,619.299,17,0.039,0,6881,15.692,0,0.0,0
107,NGA,Africa,266660,129.359,8,0.004,0,3155,1.531,0,0.0,0
108,ZWE,Africa,264511,1779.67,36,0.242,0,5679,38.209,0,0.0,0
109,UZB,Europe,251839,752.45,166,0.496,0,1637,4.891,0,0.0,0
110,MOZ,Africa,233334,746.539,0,0.0,0,2242,7.173,0,0.0,0
111,MTQ,Americas,229364,61120.541,0,0.0,0,1093,291.261,0,0.0,0
112,LAO,Western Pacific,218033,2996.787,5,0.069,0,758,10.418,0,0.0,0
113,AFG,Eastern Mediterranean,210181,539.918,297,0.763,0,7882,20.247,1,0.003,0
114,ISL,Europe,209191,57448.906,0,0.0,0,260,71.402,0,0.0,0
115,KGZ,Europe,206805,3169.818,36,0.552,0,2991,45.845,0,0.0,0
116,GLP,Americas,202058,50498.845,0,0.0,0,1010,252.422,0,0.0,0
117,SLV,Americas,201785,3110.987,0,0.0,0,4230,65.215,0,0.0,0
118,TTO,Americas,190735,13628.913,450,32.155,0,4368,312.114,7,0.5,0
119,MDV,South-East Asia,185771,34367.415,16,2.96,0,311,57.535,0,0.0,0
120,GHA,Africa,171412,551.644,0,0.0,0,1462,4.705,0,0.0,0
121,NAM,Africa,171222,6738.623,0,0.0,0,4090,160.966,0,0.0,0
122,UGA,Africa,170491,372.731,0,0.0,0,3632,7.94,0,0.0,0
123,JAM,Americas,154538,5218.821,0,0.0,0,3528,119.142,0,0.0,0
124,KHM,Western Pacific,138723,829.734,2,0.012,0,3056,18.279,0,0.0,0
125,RWA,Africa,133194,1028.349,0,0.0,0,1468,11.334,0,0.0,0
126,CMR,Africa,124741,469.907,0,0.0,0,1968,7.414,0,0.0,0
127,MLT,Europe,118004,22932.813,106,20.6,0,832,161.69,1,0.194,0
128,BRB,Americas,106798,37163.288,0,0.0,0,579,201.479,0,0.0,0
129,AGO,Africa,105316,320.438,0,0.0,0,1933,5.881,0,0.0,0
130,GUF,Americas,98041,32824.542,0,0.0,0,413,138.274,0,0.0,0
131,COD,Africa,95895,107.072,0,0.0,0,1464,1.635,0,0.0,0
132,SEN,Africa,88970,531.357,19,0.113,0,1971,11.771,0,0.0,0
133,MWI,Africa,88616,463.232,2,0.01,0,2686,14.041,0,0.0,0
134,CIV,Africa,88299,334.741,4,0.015,0,834,3.162,0,0.0,0
135,SUR,Americas,82467,14057.706,0,0.0,0,1404,239.332,0,0.0,0
136,NCL,Western Pacific,80032,28032.421,0,0.0,0,314,109.983,0,0.0,0
137,PYF,Western Pacific,78153,27821.564,0,0.0,0,649,231.036,0,0.0,0
138,SWZ,Africa,74323,6406.249,0,0.0,0,1425,122.827,0,0.0,0
139,GUY,Americas,73114,9295.507,9,1.144,0,1298,165.024,0,0.0,0
140,BLZ,Americas,70782,17801.06,0,0.0,0,688,173.026,0,0.0,0
141,FJI,Western Pacific,68911,7687.142,7,0.781,0,883,98.5,0,0.0,0
